食物种类,食物名,热量,食物详情页面链接
"蛋类、肉类及制品
  ",酱鸭,热量：266 大卡(每100克),http://www.boohee.com/shiwu/jiangya
"蛋类、肉类及制品
  ",河虾,热量：87 大卡(每100克),http://www.boohee.com/shiwu/hexia
"蛋类、肉类及制品
  ",鸭翅,热量：146 大卡(每100克),http://www.boohee.com/shiwu/yachi
"蛋类、肉类及制品
  ",培根（熏肉）,热量：181 大卡(每100克),http://www.boohee.com/shiwu/larou_peigen
"蛋类、肉类及制品
  ",麦当劳 麦乐鸡,热量：281 大卡(每100克),http://www.boohee.com/shiwu/maidanglaohimaileji_5kuaizhuan
"蛋类、肉类及制品
  ",虾米,热量：198 大卡(每100克),http://www.boohee.com/shiwu/xiami
"蛋类、肉类及制品
  ",麦当劳 香骨鸡腿,热量：217 大卡(每100克),http://www.boohee.com/shiwu/fdc11eae
"蛋类、肉类及制品
  ",麦当劳 麦辣鸡翅,热量：210 大卡(每100克),http://www.boohee.com/shiwu/mailajichi4kuai_maidanglao
"蛋类、肉类及制品
  ",麦当劳 那么大鸡小块,热量：257 大卡(每100克),http://www.boohee.com/shiwu/fd710c89
"蛋类、肉类及制品
  ",牛肉（瘦）,热量：106 大卡(每100克),http://www.boohee.com/shiwu/niurou_shou
"蛋类、肉类及制品
  ",肯德基 吮指原味鸡,热量：346 大卡(每100克),http://www.boohee.com/shiwu/kendejishunzhiyuanweiji
"蛋类、肉类及制品
  ",鲫鱼,热量：108 大卡(每100克),http://www.boohee.com/shiwu/jiyu
"蛋类、肉类及制品
  ",火腿,热量：330 大卡(每100克),http://www.boohee.com/shiwu/huotui
"蛋类、肉类及制品
  ",牛肉干,热量：550 大卡(每100克),http://www.boohee.com/shiwu/niurougan
"蛋类、肉类及制品
  ",咸鸭蛋（煮）,热量：177 大卡(每100克),http://www.boohee.com/shiwu/xianyadan_zhu
"蛋类、肉类及制品
  ",鸡翅,热量：194 大卡(每100克),http://www.boohee.com/shiwu/jichi
"蛋类、肉类及制品
  ",烤鸡,热量：240 大卡(每100克),http://www.boohee.com/shiwu/kaoji
"蛋类、肉类及制品
  ",热狗肠,热量：307 大卡(每100克),http://www.boohee.com/shiwu/regouchang
"蛋类、肉类及制品
  ",鹌鹑蛋,热量：160 大卡(每100克),http://www.boohee.com/shiwu/anchundan
"蛋类、肉类及制品
  ",羊肉串(烤),热量：206 大卡(每100克),http://www.boohee.com/shiwu/yangrouchuan_kao
"蛋类、肉类及制品
  ",基围虾,热量：101 大卡(每100克),http://www.boohee.com/shiwu/jiweixia
"蛋类、肉类及制品
  ",猪肝,热量：129 大卡(每100克),http://www.boohee.com/shiwu/zhugan
"蛋类、肉类及制品
  ",鸭胸脯肉,热量：90 大卡(每100克),http://www.boohee.com/shiwu/yaxiongfurou
"蛋类、肉类及制品
  ",虾虎,热量：81 大卡(每100克),http://www.boohee.com/shiwu/xiahu
